ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100,tx,ty,label,fsr_slope
16006,21906,-3620,15598,-2326,-965,-465,493,-218,-6181,-2.18,-61.81,-1,-55.59097744360902
16056,21485,-5140,15204,366,-1349,-382,315,-227,-6322,-2.27,-63.22,-1,-65.02406015037594
16106,20823,-3802,15098,878,-1131,-279,380,-304,-6505,-3.04,-65.05,-1,-82.5578947368421
16156,20250,-3864,15670,1622,-1107,-241,166,-373,-6653,-3.73,-66.53,0,-105.66240601503759
16206,19826,-4664,14446,5146,-1028,-351,116,-386,-6619,-3.86,-66.19,0,-131.8406015037594
16256,19460,-3594,15892,2912,-889,-71,206,-462,-6731,-4.62,-67.31,0,-158.0300751879699
16306,19554,-4096,14784,5550,-765,-179,225,-497,-6695,-4.97,-66.95,0,-175.65187969924813
16356,19549,-3666,15608,5066,-1058,-78,119,-555,-6712,-5.55,-67.12,0,-188.5406015037594
16406,19077,-3146,14718,6118,-1015,-178,299,-627,-6678,-6.27,-66.78,0,-205.1330827067669
16456,18598,-3340,14094,7252,-1123,-195,294,-676,-6582,-6.76,-65.82,0,-224.3736842105263
16506,17459,-2490,14026,7544,-1210,-271,376,-764,-6500,-7.64,-65.0,0,-254.28947368421052
16556,15616,-2118,13346,9004,-1752,-114,163,-859,-6353,-8.59,-63.53,0,-302.5285714285714
16606,12397,-1610,12600,10396,-1571,60,254,-968,-6151,-9.68,-61.51,0,-386.40827067669176
16656,10095,-1666,12312,11766,-1524,499,-209,-1061,-5917,-10.61,-59.17,0,-491.47744360902254
16706,8402,-3164,11266,11984,-1179,372,-138,-1060,-5662,-10.6,-56.62,0,-606.709022556391
16756,6664,-3136,10326,12960,-984,-209,203,-1063,-5378,-10.63,-53.78,0,-726.6714285714286
16806,5390,-2460,9884,13052,-835,-215,236,-1097,-5120,-10.97,-51.2,0,-840.3639097744361
16856,4641,-1888,10100,13248,-904,-157,129,-1158,-4906,-11.58,-49.06,0,-939.1548872180451
16906,4017,-1990,8726,13792,-920,-142,119,-1202,-4650,-12.02,-46.5,0,-1021.1917293233083
16956,3136,-1704,7860,14342,-1094,-225,19,-1254,-4379,-12.54,-43.79,0,-1088.1917293233082
17006,2426,-1588,6996,14710,-1018,-295,113,-1305,-4100,-13.05,-41.0,0,-1141.251879699248
17056,2238,-1362,6216,15418,-915,-170,93,-1361,-3812,-13.61,-38.12,0,-1174.3518796992482
17106,2214,-1188,6744,15796,-989,-127,9,-1369,-3782,-13.69,-37.82,0,-1189.3045112781954
17156,1927,-1414,5322,16222,-827,-155,33,-1414,-3485,-14.14,-34.85,-1,-1189.421052631579
17206,1888,-1206,4662,16338,-957,-178,24,-1463,-3199,-14.63,-31.99,-1,-1169.2360902255639
17256,1444,-1076,3298,16352,-1001,-148,31,-1511,-2888,-15.11,-28.88,-1,-1134.1984962406016
17306,1381,-818,2944,16850,-860,-64,34,-1565,-2602,-15.65,-26.02,-1,-1071.484962406015
17356,1486,-754,2156,16816,-778,-83,-9,-1614,-2320,-16.14,-23.2,-1,-980.0225563909775
17406,1366,-798,1654,17588,-676,-49,23,-1620,-2284,-16.2,-22.84,-1,-870.5646616541353
17456,1326,-954,772,16692,-616,-40,-29,-1650,-1980,-16.5,-19.8,-1,-742.6082706766917
17506,1150,-806,-134,16474,-478,-195,70,-1682,-1675,-16.82,-16.75,-1,-609.1774436090226
17556,1155,-308,408,16760,-401,-127,51,-1736,-1443,-17.36,-14.43,-1,-480.2503759398496
17606,1125,-508,-454,16328,-284,-184,49,-1771,-1201,-17.71,-12.01,-1,-380.83233082706766
17656,1359,-198,-466,19386,-125,-19,6,-1772,-1200,-17.72,-12.0,-1,-297.4684210526316
17706,1564,-318,860,16536,62,120,-79,-1811,-1063,-18.11,-10.63,-1,-224.77067669172934
17756,1472,-54,-120,17542,4,18,14,-1818,-1041,-18.18,-10.41,-1,-170.5466165413534
17806,1452,-234,-420,16890,-19,-19,-3,-1855,-862,-18.55,-8.62,-1,-128.91654135338345
17856,1525,-414,-378,16864,16,0,-8,-1878,-712,-18.78,-7.12,-1,-92.14812030075188
17906,1553,-362,-404,16728,26,-10,-6,-1900,-583,-19.0,-5.83,-1,-60.14661654135338
17956,1637,-290,-342,16788,38,-38,12,-1922,-477,-19.22,-4.77,-1,-37.150375939849624
18006,1651,-192,30,16968,10,-17,11,-1946,-406,-19.46,-4.06,-1,-22.910526315789475
18056,1725,-228,-130,16794,-14,-14,9,-1965,-337,-19.65,-3.37,-1,-9.416541353383458
18106,1761,-336,-98,16776,-22,3,7,-1975,-280,-19.75,-2.8,-1,4.984210526315789
18156,1819,-368,-216,16782,-12,16,2,-1982,-225,-19.82,-2.25,-1,16.36315789473684
18206,1903,-358,-268,16784,-13,16,1,-1988,-177,-19.88,-1.77,-1,28.48872180451128
18256,1895,-382,-178,16844,-15,17,7,-1993,-140,-19.93,-1.4,-1,33.46691729323308
18306,1905,-366,-286,16824,-14,2,6,-1997,-103,-19.97,-1.03,-1,36.91503759398496
18356,1951,-422,-192,16730,-15,12,-3,-1998,-76,-19.98,-0.76,-1,41.89022556390977
18406,2014,-376,-232,16738,-14,-7,7,-2001,-51,-20.01,-0.51,-1,45.17142857142857
18456,2031,-406,-242,16746,-3,11,-2,-2002,-30,-20.02,-0.3,-1,47.089473684210525
18506,2025,-344,-166,16844,-10,7,2,-2006,-16,-20.06,-0.16,-1,45.08270676691729
18556,1945,-470,-238,16794,-9,-8,15,-2003,0,-20.03,0.0,-1,40.69624060150376
18606,1886,-384,-208,16738,-8,1,7,-2005,11,-20.05,0.11,-1,33.805263157894736
18656,1822,-356,-182,16874,-28,2,8,-2008,20,-20.08,0.2,-1,28.550375939849623
18706,1786,-376,-338,16782,-17,-1,14,-2010,36,-20.1,0.36,-1,25.321804511278195
18756,1761,-334,-152,16586,-13,-12,21,-2013,39,-20.13,0.39,-1,19.949624060150377
18806,1892,-396,-332,16758,10,5,4,-2013,52,-20.13,0.52,-1,15.698496240601504
18856,1924,-404,-142,16830,-12,1,1,-2013,52,-20.13,0.52,-1,12.395488721804512
18906,2001,-568,-238,16850,-5,10,5,-2004,58,-20.04,0.58,-1,10.034586466165413
