ms,fsr,ax,ay,az,gx,gy,gz,tx100,ty100
25508,3118,4,-10,16920,-8,-2,3,-56,-102
25558,2986,8,-20,16934,-9,-3,4,-56,-102
25608,2957,4,2,16934,-9,-2,6,-56,-103
25658,2909,-8,-32,16904,-9,-2,5,-55,-102
25708,2910,8,0,16916,-9,-2,5,-56,-103
25758,3059,10,-22,16884,-10,-3,4,-56,-102
25808,3111,-18,-2,16912,-10,0,3,-55,-103
25858,3108,-14,-40,16898,-9,-3,3,-54,-102
25908,3122,-10,-14,16914,-10,-3,6,-54,-102
25958,2985,-10,-48,16910,-9,-3,2,-53,-100
26008,2828,-4,-24,16928,-10,-3,5,-53,-100
26058,2684,6,-32,16904,-12,1,3,-54,-99
26108,2533,-12,-32,16898,-9,-1,6,-53,-99
26158,2398,32,-74,16898,-9,-3,12,-55,-96
26208,2349,8,-92,16908,-10,-6,19,-55,-93
26258,2264,-16,2,16912,-10,-1,10,-54,-95
26308,2312,-8,-12,16904,-9,-3,9,-54,-97
26358,2325,16,-46,16922,-9,-2,13,-55,-96
26408,2326,8,6,16884,-10,-2,13,-55,-98
26458,2369,24,-90,16892,-10,-4,18,-56,-95
26508,2357,10,-16,16904,-9,-2,7,-57,-96
26558,2449,-4,4,16904,-7,-3,8,-56,-98
26608,2382,26,-38,16904,-9,-3,5,-57,-97
26658,2383,0,10,16884,-7,-2,15,-57,-99
26708,2374,46,-48,16890,-9,-2,5,-59,-98
26758,2522,-16,-8,16894,-9,-1,8,-57,-99
26808,2535,-42,30,16880,-7,-1,6,-55,-102
26858,2630,6,-26,16920,-7,-2,2,-55,-101
26908,2894,24,-18,16920,-7,-1,3,-56,-101
26958,3005,2,2,16916,-8,-2,3,-56,-102
27008,3097,16,-30,16896,-7,-1,3,-57,-101
27058,3080,16,-24,16902,-8,-3,2,-57,-101
27108,3126,2,-22,16908,-9,-1,3,-57,-101
27158,3167,-6,-6,16914,-8,-2,2,-56,-101
27208,3206,6,-30,16906,-10,0,0,-56,-101
